Name_Number,1위,1위_count,2위,2위_count
149,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(C)CCCCCCCCCC(=O)OCCCCCCC,1,,
150,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(C)CCCCCCCCCCCC(=O)OCCCCC,1,,
151,CCCCCCCCCC(=O)OCCCCCCCN(CCO)CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC,1,,
153,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCCCC(CCCCCCCC)CCCCCCCC,1,,
172,CCCCCCCCC(C)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
18,CCCCCCCCCCCCCCCCC=COC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC=CCCCCCCCCCCCCCCCC,1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1.0
2,CCCCCCCCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
25,CCCCCCCC(CCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCC)CCCCCCC,1,,
27,CCCCCCCC(CCCCC)OC(=O)CCCCCN(CCO)CCCCCC(=O)OC(CCCCC)CCCCCCC,1,,
28,CCCCCCCC(CCCCC)OC(=O)CCCCCCCCN(CCO)CCCCCCCCC(=O)OC(CCCC)CCC1CC1CCC,1,,
29,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
30,CCCCCCCC(CCCCC)OC(=O)CCCCN(CCO)CCCCC(=O)OC(CCCCC)CCCCCCC,1,,
33,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
4,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC(=O)OC1CCC(CCCCC)CC1,1,,
47,CCCCCCCC(CCCCC)OC(=O)CCCCCCCCN(CCO)CCCCCCCCC(=O)OC(CCCC)CCC1CC1CCC,1,,
48,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCC)COC,1,,
52,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCC/C=C\C(CCCCCCCC)CCCCCCCC,1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC=CC(CCCCCCCC)CCCCCCCC,1.0
53,CCCCCCCC(CCCCC)OC(=O)CCCCN(CCO)CCCCC(=O)OC(CCCCC)CCCCCCC,1,,
54,CCCCCCCC(CCCCC)OC(=O)CCCCCN(CCO)CCCCCC(=O)OC(CCCCC)CCCCCCC,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCOCCO,1.0
55,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(C)(C)C,1,,
56,CCCCCCCC(CCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCC)CCCCCCC,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C(CO)CO,1.0
57,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C(C)CO,1,,
58,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(C)(C)C,1,,
59,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
60,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCC1CC1CCCC)CCC1CC1CCCC,1,,
61,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)C(C)CCCCCCCCOC(=O)CCCCCCC,1,,
62,CCCCCCCCC(CCCCCCCC)C(=O)OCCCCCCCN(CCO)C(C)CCCCCCCCOC(=O)CCCCCCC,1,,
63,CCCCCCCCCOC(=O)C(C)CCCCCCN(CCO)CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC,1,,
64,CCCCCCCCCOC(=O)C(C)CCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
65,CCCCCCCCCC(=O)OC(C)CCCCCCN(CCO)CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC,1,,
66,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC1CCC(CCCCC)CC1,1,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)O,1.0
67,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCC(=O)OC1CCC(CCCCC)CC1,1,CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)O,1.0
68,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCCCC(=O)OC1CCC(CCCCC)CC1,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN/C(=N/C#N)N(C)C,1.0
69,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CC(O)CO,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNc1c(N(C)C)c(=O)c1=O,1.0
70,CCCCCCCCC(C)OC(=O)CCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN/C(=C/[N+](=O)[O-])NC,1.0
71,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCC(=O)OC(CCCCC)CCCCCCCC,1,CCCCCCCCCC(C)(O)CCCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1.0
72,CCCCCCCCC(CC)OC(=O)CCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,1,,
73,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCO)CCCC(=O)OC(CCCCCC)CCCCCCCC,1,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCN(C)S(C)(=O)=O,1.0
