ionizable_lipid_original,helper_lipid,sterol_lipid,peg_lipid,lipid_molar_ratio,count_atlas
0315ALC,DSPC,cholesterol,,46.3:9.4:42.7:1.6,3
0315ALC,DSPC,cholesterol,PEG2000,46.3:9.4:42.7:1.6,10
